fold,fit_count,heldout_count,macro_f1,micro_f1,sample_f1
1,9078,2270,0.30969718444441174,0.3583126550868486,0.15650478987483393
2,9078,2270,0.32110862951736524,0.36742248958815366,0.17090708850620748
3,9078,2270,0.35086450232175775,0.3746397694524496,0.16929146722098265
4,9079,2269,0.33085119971282045,0.3699289479715792,0.17375285945140503
5,9079,2269,0.33973290390053557,0.3828600405679513,0.1706231553080385
