epoch,train_loss,val_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,train_val_loss_gap
1,0.0278012476382316,0.0271198625433737,0.8021057264110819,0.8566963199454692,0.2128253193386097,0.3073712631023543,0.2335867241539374,-0.0006813850948578989
2,0.0264719304414574,0.0269489379722466,0.8113085374570518,0.8610783703698901,0.2241961813877546,0.3164197044720956,0.2414718784836938,0.00047700753078919883
3,0.0260301392285335,0.0275739380242194,0.8140954961174985,0.8544906938739325,0.2242495547206894,0.2914441318303832,0.2420217350116901,0.0015437987956859016
4,0.0257164575065161,0.0265378010093871,0.8239338342879515,0.8679673460158447,0.2477076244782001,0.3230197379163322,0.2822192845799251,0.000821343502870997
5,0.0251927758917215,0.0267251220459212,0.8199606606631826,0.8665778249252104,0.2382335473046516,0.3174611906772021,0.2776346057564671,0.001532346154199702
6,0.0247901926273577,0.0264062789473308,0.830647086469157,0.871236148668191,0.2571945541064159,0.3269768767574102,0.2837207288840372,0.0016160863199730993
7,0.0244808974184236,0.0264419806628085,0.8264382054867374,0.8706858286661038,0.2603467711470036,0.3275349969771559,0.3011808849018554,0.0019610832443849
8,0.0242287347209581,0.0280179261227634,0.8275924604320297,0.865938989505054,0.2586793766752578,0.2929484954535994,0.2880142599779393,0.003789191401805298
9,0.0238131865254572,0.0262466969252798,0.8324673595811959,0.8735507590991387,0.2697229081966683,0.3419350564884097,0.3111143046581438,0.002433510399822602
10,0.023307444706274,0.0265167458275064,0.8307617794644138,0.8726411948291131,0.2626946567918347,0.3361982977763225,0.2967138782580129,0.0032093011212324003
